"model type","option","learning rate","weight decay","train auc score","test auc score"
"d","1","0.001","0","0.8943094260250328","0.5258965679247328"
"d","1","0.001","1e-05","0.895375603355243","0.49151046246882946"
"d","1","0.001","0.0001","0.8973285692268326","0.5284094878991941"
"d","1","0.001","0.001","0.5468394838766618","0.4890129019045668"
"d","1","0.01","0","0.8560428104358845","0.5057079784606859"
"d","1","0.01","1e-05","0.8792268292980118","0.5133187167965692"
"d","1","0.01","0.0001","0.8846292812823454","0.49258592234764065"
"d","1","0.01","0.001","0.5438613780523428","0.49743166568286135"
