"model type","option","learning rate","weight decay","train auc score","test auc score"
"s","1","0.001","0","0.8883517724777081","0.5067827537037485"
"s","1","0.001","1e-05","0.886294936358938","0.49818800299683397"
"s","1","0.001","0.0001","0.8720847706157377","0.5050082171254562"
"s","1","0.001","0.001","0.8492730840135779","0.5026004785267177"
"s","1","0.01","0","0.8666360701341674","0.5037043526596902"
"s","1","0.01","1e-05","0.8537920299627589","0.5110798269570052"
"s","1","0.01","0.0001","0.8727213664614477","0.5204866230031177"
"s","1","0.01","0.001","0.7966814479475599","0.5079234840611935"
