"model type","option","learning rate","weight decay","train auc score","test auc score"
"d","2","0.001","0","0.8963247559215843","0.8001219416973925"
"d","2","0.001","1e-05","0.8909291536947737","0.8041321634485161"
"d","2","0.001","0.0001","0.8744243477361773","0.7998623038291661"
"d","2","0.001","0.001","0.5387654947024508","0.5333858367283764"
"d","2","0.01","0","0.8296563489907989","0.7777442841664778"
"d","2","0.01","1e-05","0.8636977709816839","0.7924885365476144"
"d","2","0.01","0.0001","0.8449193048535371","0.7947262072901753"
"d","2","0.01","0.001","0.5","0.5"
