"model type","option","learning rate","weight decay","train auc score","test auc score"
"d","3","0.001","0","0.976047224536047","0.565364643881268"
"d","3","0.001","1e-05","0.9646369421493804","0.537890413082229"
"d","3","0.001","0.0001","0.9451726738557824","0.5410679686894521"
"d","3","0.001","0.001","0.7266466301957871","0.49035108114392"
"d","3","0.01","0","0.9964120083747946","0.5523056653491436"
"d","3","0.01","1e-05","0.9910126672520019","0.5444625280942417"
"d","3","0.01","0.0001","0.9881460260999423","0.5746880570409982"
"d","3","0.01","0.001","0.7110630210795681","0.46996822444392766"
