"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"3","5","0.0001","1e-06","0.5373","0.0","0.0","0.0","0.65406","0.0","0.0","0.0","0.69316","8.469999999997847e-09"
"3","5","1e-05","1e-06","0.52857","0.0","0.0","0.0","0.58619","0.0","0.0","0.0","0.694917","1.2271210000000068e-06"
"3","5","0.01","1e-07","0.83288","0.82931","0.68244","0.74874","0.70112","0.68889","0.57407","0.62626","0.5075105000000001","0.00034783758475"
"3","5","0.001","1e-07","0.54486","0.47417","1.0","0.6433","0.63064","0.0","0.0","0.0","0.6922725000000002","7.187087499999809e-07"
"3","5","0.0001","1e-07","0.54406","0.53205","0.78179","0.63318","0.65195","0.0","0.0","0.0","0.6931465","1.344827499999956e-07"
"3","5","1e-05","1e-07","0.54755","0.54583","1.0","0.7062","0.62436","0.45361","1.0","0.62411","0.6969535","7.314127500000223e-07"
"3","5","0.01","1e-08","0.75787","0.75152","0.59236","0.66251","0.67564","0.6","0.53333","0.56471","0.5903514999999999","0.0005800984627499999"
"3","5","0.001","1e-08","0.65027","0.69546","0.48862","0.57398","0.61974","0.65625","0.36842","0.47191","0.6739445","0.0019322016547500009"
"3","5","0.0001","1e-08","0.54946","0.62676","0.27683","0.38403","0.57526","0.72727","0.16667","0.27119","0.693303","1.7929100000000025e-07"
"3","5","1e-05","1e-08","0.5493","0.0","0.0","0.0","0.57662","0.64706","0.2","0.30556","0.6938850000000001","2.1632499999999653e-07"
"3","7","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6938950000000002","5.415499999999474e-08"
"3","7","0.001","0.001","0.5185","0.51167","1.0","0.67696","0.51282","0.40206","1.0","0.57353","0.6932245","4.2547499999991484e-09"
"3","7","0.0001","0.001","0.54264","0.49","1.0","0.65772","0.56647","0.45361","1.0","0.62411","0.6931689999999999","2.4149000000000076e-08"
"3","7","1e-05","0.001","0.54744","0.5025","1.0","0.66889","0.59091","0.56701","1.0","0.72368","0.6933315","3.0232750000001155e-08"
"3","7","0.01","0.0001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6938394999999999","3.843474999999966e-08"
"3","7","0.001","0.0001","0.56333","0.0","0.0","0.0","0.59715","0.58763","1.0","0.74026","0.6932225","8.288750000001688e-09"
"3","7","0.0001","0.0001","0.59443","0.60183","0.5316","0.56454","0.584","0.76471","0.44828","0.56522","0.6907814999999999","1.5096327500000126e-06"
"3","7","1e-05","0.0001","0.55759","0.57143","0.10039","0.17077","0.58979","0.66667","0.21277","0.32258","0.6932655000000001","1.607847500000071e-07"
"3","7","0.01","1e-05","0.53463","0.0","0.0","0.0","0.61303","0.0","0.0","0.0","0.693809","5.163899999999752e-08"
"3","7","0.001","1e-05","0.55513","0.0","0.0","0.0","0.64447","0.51546","1.0","0.68027","0.6932205","4.834750000000359e-09"
"3","7","0.0001","1e-05","0.52777","0.50578","0.58236","0.54138","0.65047","0.60784","0.67391","0.63918","0.6931645","4.543474999999604e-08"
"3","7","1e-05","1e-05","0.53218","1.0","0.00181","0.00361","0.62193","0.0","0.0","0.0","0.6936775","1.497528749999991e-06"
"3","7","0.01","1e-06","0.83792","0.79012","0.71565","0.75105","0.61757","0.675","0.45","0.54","0.4548470000000001","0.0007115556110000004"
"3","7","0.001","1e-06","0.83325","0.74539","0.72123","0.73311","0.7","0.7234","0.59649","0.65385","0.5048914999999999","8.085991274999982e-05"
"3","7","0.0001","1e-06","0.54993","0.49396","0.78671","0.60688","0.6458","0.64615","0.79245","0.71186","0.6931475","7.738749999998563e-09"
"3","7","1e-05","1e-06","0.5435","0.0","0.0","0.0","0.61019","0.5","0.04878","0.08889","0.693157","3.483100000000307e-08"
"3","7","0.01","1e-07","0.55544","0.0","0.0","0.0","0.5816","0.0","0.0","0.0","0.6938804999999999","6.174475000000003e-08"
"3","7","0.001","1e-07","0.82788","0.77723","0.785","0.78109","0.6189","0.52083","0.60976","0.5618","0.5023865","4.546781275000014e-05"
"3","7","0.0001","1e-07","0.59507","0.55138","0.71661","0.62323","0.63427","0.53731","0.70588","0.61017","0.6927565","8.827275000000138e-08"
"3","7","1e-05","1e-07","0.55105","0.55583","1.0","0.71452","0.62807","0.41237","1.0","0.58394","0.695799","1.2271290000000091e-06"
"3","7","0.01","1e-08","0.54613","0.5125","1.0","0.67769","0.66688","0.56701","1.0","0.72368","0.6933609999999999","1.5679598999999968e-05"
"3","7","0.001","1e-08","0.56938","0.53626","0.487","0.51045","0.65252","0.57143","0.51282","0.54054","0.6933625","2.3799258749999966e-05"
"3","7","0.0001","1e-08","0.54691","0.0","0.0","0.0","0.56282","0.0","0.0","0.0","0.6933765","1.2179275000000704e-07"
"3","7","1e-05","1e-08","0.54648","0.42083","1.0","0.59238","0.57576","0.56701","1.0","0.72368","0.6936679999999998","5.417560000000028e-07"
"3","10","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6938895","4.282475000000013e-08"
"3","10","0.001","0.001","0.59076","0.0","0.0","0.0","0.65396","0.0","0.0","0.0","0.6932345000000001","7.074750000000563e-09"
"3","10","0.0001","0.001","0.53315","0.55","1.0","0.70968","0.56818","0.45361","1.0","0.62411","0.6931689999999999","5.93900000000001e-09"
"3","10","1e-05","0.001","0.53128","0.46","1.0","0.63014","0.58255","0.45361","1.0","0.62411","0.6966605","2.8164647499999893e-06"
