"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"2","3","5","0.01","1e-06","0.85104","0.80538","0.86573","0.83447","0.78968","0.65848","0.90847","0.76353","0.4870075","0.00030539056875000006"
"3","3","5","0.01","1e-06","0.8012","0.6219","0.80697","0.70245","0.79423","0.70161","0.76991","0.73418","0.5651154999999999","0.0037839722747499997"
"4","3","5","0.01","1e-06","0.79158","0.60459","0.63365","0.61878","0.81491","0.52528","0.83857","0.64594","0.563495","0.011902698525"
"5","3","5","0.01","1e-06","0.79745","0.61948","0.37237","0.46514","0.81614","0.75","0.02372","0.04598","0.5628620000000001","0.009134031646"
"6","3","5","0.01","1e-06","0.81066","0.52343","0.7378","0.6124","0.83174","0.0","0.0","0.0","0.5376375","0.011422516188749999"
