"model type","option","learning rate","weight decay","train auc score","test auc score"
"s","2","0.001","0","0.8649786576666161","0.7962502712192042"
"s","2","0.001","1e-05","0.8705041736784412","0.791342682998994"
"s","2","0.001","0.0001","0.8710185290715028","0.8004769871625897"
"s","2","0.001","0.001","0.6361247277168651","0.6120251870740065"
"s","2","0.01","0","0.8224561277393565","0.7813723960714907"
"s","2","0.01","1e-05","0.8289933279207219","0.7615282955598952"
"s","2","0.01","0.0001","0.8568755847341802","0.8057130868421476"
"s","2","0.01","0.001","0.5","0.5"
