"model type","option","learning rate","weight decay","train auc score","test auc score"
"s","3","0.001","0","0.9286627683937644","0.5513226011380994"
"s","3","0.001","1e-05","0.9317724741632857","0.5374072422042901"
"s","3","0.001","0.0001","0.9155109411267791","0.5303245340145709"
"s","3","0.001","0.001","0.8121979904131936","0.5605476933890218"
"s","3","0.01","0","0.905830649880068","0.554945054945055"
"s","3","0.01","1e-05","0.9104840678438985","0.6212305529648703"
"s","3","0.01","0.0001","0.9772550694985332","0.5904194206777232"
"s","3","0.01","0.001","0.8441155841790572","0.5775786329291865"
