"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"10","10","0.01","1e-07","0.96705","0.95793","0.87834","0.91641","0.5693","0.50877","0.60417","0.55238","0.295468","0.0007484442760000004"
"10","10","0.001","1e-07","0.89864","0.81818","0.87348","0.84493","0.67872","0.64444","0.58","0.61053","0.38724149999999996","8.516342275000002e-05"
"10","10","0.001","1e-07","0.92695","0.82453","0.8784","0.85062","0.65731","0.58491","0.64583","0.61386","0.36464700000000005","0.00021187551100000009"
"10","10","0.0001","1e-07","0.53447","0.45492","0.6236","0.52607","0.54957","0.4697","0.68889","0.55856","0.6930295","4.832475000000086e-08"
"10","10","0.0001","1e-07","0.61408","0.54627","0.73276","0.62592","0.64","0.59524","0.53191","0.5618","0.679707","0.0003093685909999999"
"10","10","1e-05","1e-07","0.53143","0.4725","1.0","0.64177","0.61082","0.43299","1.0","0.60432","0.6932729999999999","2.194100000000103e-08"
"10","10","1e-05","1e-07","0.55859","0.51282","0.20761","0.29557","0.63191","0.64286","0.54","0.58696","0.693039","9.069000000000644e-09"
"10","10","0.1","1e-08","0.53609","0.8","0.02044","0.03987","0.57873","1.0","0.025","0.04878","0.7016730000000001","3.0399401000000107e-05"
"10","10","0.1","1e-08","0.52126","0.5675","1.0","0.72408","0.53316","0.41667","0.64103","0.50505","0.7054385","0.00010111163275000009"
"10","10","0.01","1e-08","0.90092","0.87776","0.7728","0.82194","0.72696","0.59574","0.65116","0.62222","0.44199299999999997","0.0016271539510000006"
"10","10","0.01","1e-08","0.8869","0.67357","0.84095","0.74801","0.70283","0.68889","0.58491","0.63265","0.44139249999999997","0.0002832513987500001"
"10","10","0.001","1e-08","0.94529","0.88814","0.90189","0.89496","0.61858","0.40476","0.5","0.44737","0.28989550000000003","0.0001820311847500001"
"10","10","0.001","1e-08","0.91943","0.76909","0.87942","0.82056","0.61253","0.50909","0.6087","0.55446","0.3621595000000001","0.00019515159474999994"
