"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"3","5","1e-05","1e-05","0.7162","0.68972","0.87234","0.77035","0.76342","0.54749","1.0","0.70758","0.5983210000000001","0.00011523567900000012"
"3","5","0.1","1e-06","0.71377","0.53967","0.99531","0.69986","0.74313","0.51977","1.0","0.68401","0.5996225","0.00011989786875000002"
"3","5","0.01","1e-06","0.811","0.77675","0.89771","0.83286","0.82773","0.8","0.8932","0.84404","0.49350400000000005","6.4879704e-05"
"3","5","0.001","1e-06","0.84898","0.80355","0.90268","0.85023","0.81953","0.79592","0.8125","0.80412","0.453161","2.4370578999999986e-05"
"3","5","0.0001","1e-06","0.7647","0.68447","0.88959","0.77366","0.77119","0.70103","0.7907","0.74317","0.5859610000000001","3.1226948999999924e-05"
"3","5","1e-05","1e-06","0.73513","0.0","0.0","0.0","0.73649","0.0","0.0","0.0","0.732655","0.0022224999550000003"
"3","5","0.1","1e-07","0.73384","0.53288","0.99367","0.69373","0.75867","0.5419","1.0","0.7029","0.601437","0.00011139726099999996"
"3","5","0.01","1e-07","0.80823","0.78689","0.85981","0.82173","0.80989","0.75238","0.84946","0.79798","0.5001525","9.330637875000006e-05"
"3","5","0.001","1e-07","0.65419","0.72324","0.86536","0.78794","0.71568","0.69","0.80233","0.74194","0.5682674999999999","0.0008771204287500002"
"3","5","0.0001","1e-07","0.78105","0.68037","0.88862","0.77067","0.7535","0.72527","0.75","0.73743","0.5659815","1.799618274999997e-05"
"3","5","1e-05","1e-07","0.72657","0.54572","1.0","0.70611","0.75276","0.53631","1.0","0.69818","0.6379440000000001","0.004577590094"
"3","5","0.1","1e-08","0.70707","0.54638","0.99614","0.70569","0.74654","0.55367","1.0","0.71273","0.5967514999999999","0.00015052824275"
"3","5","0.01","1e-08","0.84428","0.77668","0.86129","0.8168","0.78564","0.79221","0.63542","0.7052","0.5022035","0.00014677172274999995"
"3","5","0.001","1e-08","0.83009","0.77475","0.83916","0.80567","0.80297","0.73684","0.76087","0.74866","0.5083055","0.00022137504475000028"
"3","5","0.0001","1e-08","0.75903","0.72326","0.88106","0.7944","0.78472","0.73504","0.86869","0.7963","0.5614480000000001","0.00020547769599999987"
"3","5","1e-05","1e-08","0.75464","0.53603","1.0","0.69794","0.75346","0.58101","1.0","0.73498","0.6766845000000001","0.014383118684750004"
"3","7","0.1","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.601383","0.0002328749110000005"
"3","7","0.01","0.001","0.79468","0.67387","0.92019","0.778","0.7997","0.72826","0.76136","0.74444","0.5425015","2.6525502750000025e-05"
"3","7","0.001","0.001","0.66867","0.73992","0.81402","0.7752","0.76149","0.76471","0.70652","0.73446","0.586895","4.6998325000000016e-05"
"3","7","0.0001","0.001","0.73437","0.69927","0.87195","0.77612","0.7617","0.52514","1.0","0.68864","0.58993","3.6827299999999876e-06"
"3","7","1e-05","0.001","0.73185","0.70878","0.82764","0.76361","0.7745","0.72881","0.85149","0.78539","0.600392","0.00023230972599999985"
"3","7","0.1","0.0001","0.50196","0.57059","1.0","0.72659","0.5","0.67039","1.0","0.80268","0.5981425","0.00011674128875000004"
"3","7","0.01","0.0001","0.87649","0.8189","0.87395","0.84553","0.80324","0.76923","0.72165","0.74468","0.44016","0.00035745296000000003"
"3","7","0.001","0.0001","0.83146","0.78656","0.85274","0.81831","0.81815","0.78082","0.67059","0.72152","0.490245","0.00014548221500000017"
"3","7","0.0001","0.0001","0.75935","0.74359","0.8169","0.77852","0.79386","0.70968","0.87129","0.78222","0.5707279999999999","0.00012670717599999972"
"3","7","1e-05","0.0001","0.72133","0.69369","0.8717","0.77257","0.74781","0.74227","0.76596","0.75393","0.6094785","0.0004721979827499996"
"3","7","0.1","1e-05","0.74557","0.56764","1.0","0.72419","0.76106","0.62011","1.0","0.76552","0.5942610000000002","9.305883899999989e-05"
"3","7","0.01","1e-05","0.90138","0.80249","0.90736","0.85171","0.77076","0.77143","0.81","0.79024","0.40464400000000006","0.00012806768400000005"
"3","7","0.001","1e-05","0.85796","0.79223","0.91823","0.85059","0.8052","0.78313","0.75581","0.76923","0.4452165","9.675288274999997e-05"
"3","7","0.0001","1e-05","0.77994","0.67224","0.89227","0.76678","0.76305","0.74257","0.78125","0.76142","0.5570335","8.412162749999977e-06"
"3","7","1e-05","1e-05","0.69896","0.56974","1.0","0.72591","0.76686","0.75309","0.69318","0.72189","0.6144674999999999","0.0007586358687499996"
"3","7","0.1","1e-06","0.71006","0.0","0.0","0.0","0.75422","0.0","0.0","0.0","0.596452","0.0001075182360000001"
"3","7","0.01","1e-06","0.85735","0.77838","0.90442","0.83668","0.73321","0.72321","0.81818","0.76777","0.481992","0.00019378643599999982"
"3","7","0.001","1e-06","0.88319","0.83724","0.89926","0.86714","0.80325","0.8046","0.74468","0.77348","0.42231949999999996","2.894418475e-05"
"3","7","0.0001","1e-06","0.77283","0.67072","0.90344","0.76987","0.75031","0.71717","0.78889","0.75132","0.5637104999999999","0.00015332345474999964"
"3","7","1e-05","1e-06","0.73929","0.52297","1.0","0.68677","0.7375","0.56425","1.0","0.72143","0.6384135000000001","0.00741124185275"
"3","7","0.1","1e-07","0.70812","0.54618","1.0","0.70649","0.73626","0.49438","1.0","0.66165","0.598656","0.0002072450640000001"
"3","7","0.01","1e-07","0.86556","0.84203","0.86429","0.85301","0.8208","0.80435","0.77895","0.79144","0.4557765","6.702779275000005e-05"
"3","7","0.001","1e-07","0.87437","0.83612","0.87454","0.8549","0.77342","0.75","0.78","0.76471","0.43548099999999995","3.692423899999998e-05"
"3","7","0.0001","1e-07","0.77828","0.72639","0.85922","0.78724","0.8047","0.7619","0.72727","0.74419","0.5592900000000001","9.952212000000002e-05"
"3","7","1e-05","1e-07","0.7497","0.67178","0.89754","0.76842","0.747","0.71569","0.8022","0.75648","0.5952250000000001","0.0001134119250000001"
"3","7","0.1","1e-08","0.71573","0.56637","1.0","0.72316","0.74831","0.59777","1.0","0.74825","0.600682","6.616411600000008e-05"
"3","7","0.01","1e-08","0.86919","0.79701","0.91422","0.8516","0.8133","0.72807","0.84694","0.78302","0.45929149999999996","5.4675582750000085e-05"
"3","7","0.001","1e-08","0.65606","0.71689","0.87798","0.7893","0.7197","0.75","0.72727","0.73846","0.5666955","0.0017131550947500004"
"3","7","0.0001","1e-08","0.78694","0.67494","0.89253","0.76863","0.76477","0.77083","0.74747","0.75897","0.5590200000000001","3.0354199999999525e-06"
"3","7","1e-05","1e-08","0.74279","0.69407","0.89478","0.78175","0.76503","0.55307","1.0","0.71223","0.601832","0.00024210394599999998"
"3","10","0.1","0.001","0.5","0.61315","1.0","0.76019","0.5","0.53631","1.0","0.69818","0.5952185","0.0001301589027499997"
"3","10","0.01","0.001","0.5","0.58997","1.0","0.74212","0.5","0.56425","1.0","0.72143","0.6038195","0.0004565458147500003"
"3","10","0.001","0.001","0.83144","0.74522","0.88786","0.81031","0.80982","0.73404","0.78409","0.75824","0.4953459999999999","4.300125400000011e-05"
"3","10","0.0001","0.001","0.77056","0.68228","0.89661","0.7749","0.77323","0.76147","0.79048","0.7757","0.5560225","0.00021397345874999964"
"3","10","1e-05","0.001","0.7258","0.0","0.0","0.0","0.75033","0.76271","0.82569","0.79295","0.6352585000000001","0.0015968198627500003"
"3","10","0.1","0.0001","0.70744","0.0","0.0","0.0","0.73155","0.0","0.0","0.0","0.601897","0.0001643771709999998"
"3","10","0.01","0.0001","0.90173","0.82504","0.91552","0.86792","0.82334","0.76768","0.82609","0.79581","0.375791","0.0002493580689999999"
"3","10","0.001","0.0001","0.88064","0.81005","0.94462","0.87217","0.76961","0.79048","0.82178","0.80583","0.39972650000000004","7.922894274999993e-05"
"3","10","0.0001","0.0001","0.76706","0.7391","0.88865","0.80701","0.76538","0.7395","0.84615","0.78924","0.5543444999999999","2.077691474999997e-05"
"3","10","1e-05","0.0001","0.71591","0.68961","0.87046","0.76955","0.76491","0.7033","0.7619","0.73143","0.5883775","1.9504187500000085e-06"
"3","10","0.1","1e-05","0.74948","0.52482","0.99678","0.6876","0.74293","0.47429","0.97647","0.63846","0.5965450000000001","0.0001021741849999999"
"3","10","0.01","1e-05","0.86936","0.80748","0.92158","0.86077","0.80651","0.74118","0.76829","0.75449","0.4226495","9.627427475000003e-05"
"3","10","0.001","1e-05","0.87947","0.81314","0.85429","0.83321","0.7906","0.8","0.72381","0.76","0.42694100000000007","0.0005631219990000002"
"3","10","0.0001","1e-05","0.78367","0.71122","0.90385","0.79605","0.76178","0.71818","0.83158","0.77073","0.5562254999999999","9.012858474999993e-05"
"3","10","1e-05","1e-05","0.76351","0.69023","0.87803","0.77288","0.8011","0.72581","0.87379","0.79295","0.5859645","5.472624749999991e-06"
"3","10","0.1","1e-06","0.69641","0.4","0.00152","0.00304","0.71278","1.0","0.00917","0.01818","0.597878","0.0001320831160000001"
"3","10","0.01","1e-06","0.88294","0.79697","0.94232","0.86357","0.79798","0.76087","0.8046","0.78212","0.407074","0.00016424507400000015"
"3","10","0.001","1e-06","0.88461","0.86565","0.85263","0.85909","0.76479","0.75862","0.74157","0.75","0.4098695","0.00157739708475"
"3","10","0.0001","1e-06","0.78403","0.72998","0.83942","0.78088","0.77135","0.71277","0.76136","0.73626","0.5578485","3.781046274999993e-05"
"3","10","1e-05","1e-06","0.73857","0.52299","1.0","0.68679","0.75019","0.52514","1.0","0.68864","0.6300764999999999","0.0029685951027500013"
"3","10","0.1","1e-07","0.7071","0.18182","0.00154","0.00306","0.75545","0.0","0.0","0.0","0.6005735","0.00012132505275000012"
"3","10","0.01","1e-07","0.9035","0.80467","0.94297","0.86835","0.81292","0.79592","0.80412","0.8","0.427094","0.0003743320239999998"
"3","10","0.001","1e-07","0.88556","0.79458","0.93911","0.86082","0.82513","0.75455","0.83838","0.79426","0.4256125","9.831005875000001e-05"
"3","10","0.0001","1e-07","0.77107","0.68464","0.92266","0.78602","0.77034","0.70213","0.77647","0.73743","0.5606220000000001","0.000395164556"
"3","10","1e-05","1e-07","0.75646","0.54994","1.0","0.70962","0.77985","0.50838","1.0","0.67407","0.6028925","0.0012440541687500002"
"3","10","0.1","1e-08","0.57398","0.59494","0.99929","0.74583","0.57851","0.59218","1.0","0.74386","0.60494","0.00020170127000000018"
"3","10","0.01","1e-08","0.85339","0.80483","0.91198","0.85506","0.78548","0.76316","0.725","0.74359","0.45396100000000006","9.005076900000001e-05"
"3","10","0.001","1e-08","0.90041","0.85863","0.9166","0.88667","0.80438","0.78205","0.7439","0.7625","0.37373199999999995","0.0002338206159999999"
"3","10","0.0001","1e-08","0.79492","0.72046","0.88995","0.79629","0.77722","0.74167","0.89","0.80909","0.5448445","4.1827374750000133e-05"
"3","10","1e-05","1e-08","0.7406","0.67809","0.89211","0.77051","0.75984","0.72881","0.85149","0.78539","0.5910225","2.832742874999999e-05"
"5","3","0.1","0.001","0.5","0.63801","1.0","0.77901","0.5","0.63687","1.0","0.77816","0.5952040000000001","8.673273400000008e-05"
"5","3","0.01","0.001","0.71281","0.51412","1.0","0.6791","0.7469","0.55866","1.0","0.71685","0.609994","0.0010599745540000002"
"5","3","0.001","0.001","0.778","0.71447","0.86619","0.78305","0.78405","0.78512","0.85586","0.81897","0.5460435","0.00032314051274999977"
