"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"2","3","5","0.01","1e-06","0.84588","0.68313","0.95205","0.79548","0.80892","0.72346","0.86913","0.78963","0.49001949999999994","0.00032273915475000025"
"2","3","5","0.001","1e-06","0.6633","0.72282","0.83911","0.77664","0.7236","0.76648","0.81818","0.79149","0.5725545000000001","0.0012002677747499993"
"2","3","5","0.01","1e-07","0.84075","0.77239","0.8443","0.80675","0.79299","0.72468","0.88013","0.79487","0.5074","0.00027910360000000037"
"2","3","5","0.001","1e-07","0.65833","0.70031","0.87203","0.77679","0.72226","0.69231","0.74194","0.71626","0.5485815","0.0023241520727500004"
"2","3","5","0.01","1e-08","0.85131","0.79429","0.88676","0.83798","0.78497","0.71196","0.89116","0.79154","0.4662629999999999","7.744726099999999e-05"
"2","3","5","0.001","1e-08","0.82881","0.79764","0.82443","0.81081","0.80754","0.70571","0.86972","0.77918","0.49366200000000005","0.00010578258600000001"
"2","3","7","0.01","1e-06","0.87904","0.79625","0.92093","0.85406","0.80332","0.67267","0.875","0.76061","0.43539950000000005","0.00015729604475"
"2","3","7","0.001","1e-06","0.8441","0.77844","0.91783","0.8424","0.80955","0.69912","0.86813","0.77451","0.45538999999999985","8.805749999999996e-06"
"2","3","7","0.01","1e-07","0.84358","0.81072","0.8694","0.83903","0.76452","0.77955","0.7625","0.77093","0.489339","3.812947900000014e-05"
"2","3","7","0.001","1e-07","0.85303","0.82258","0.81017","0.81633","0.78177","0.71646","0.78859","0.7508","0.46863600000000005","0.0003354804639999997"
"2","3","7","0.01","1e-08","0.86445","0.76649","0.94048","0.84462","0.82918","0.66472","0.88372","0.75874","0.4504075","0.00012402237875000006"
"2","3","7","0.001","1e-08","0.80657","0.75591","0.90721","0.82468","0.79508","0.64029","0.95357","0.76614","0.485672","3.5305576000000004e-05"
"2","3","10","0.01","1e-06","0.87499","0.82561","0.90045","0.86141","0.80515","0.66667","0.84","0.74336","0.453613","0.00020225848099999995"
"2","3","10","0.001","1e-06","0.88353","0.84748","0.92945","0.88658","0.80484","0.70783","0.81882","0.75929","0.40678650000000005","0.0022411008227500003"
"2","3","10","0.01","1e-07","0.90812","0.81116","0.9275","0.86544","0.78506","0.67619","0.82879","0.74476","0.4047545","0.0001841499347500001"
"2","3","10","0.001","1e-07","0.9043","0.85633","0.92296","0.88839","0.77752","0.64516","0.86022","0.73733","0.3698834999999999","4.064597274999996e-05"
"2","3","10","0.01","1e-08","0.86309","0.78115","0.91506","0.84282","0.79548","0.72966","0.88818","0.80115","0.45212","4.980973000000002e-05"
"2","3","10","0.001","1e-08","0.90989","0.86876","0.91236","0.89003","0.80905","0.70341","0.89333","0.78708","0.35578950000000004","8.398810474999997e-05"
"2","5","5","0.01","1e-06","0.86422","0.7921","0.89437","0.84013","0.79271","0.74536","0.85671","0.79716","0.4657540000000001","0.00010809791399999993"
"2","5","5","0.001","1e-06","0.66112","0.67681","0.89605","0.77115","0.6782","0.70361","0.85312","0.77119","0.5663940000000001","0.0017007353739999995"
"2","5","5","0.01","1e-07","0.84728","0.78748","0.85063","0.81784","0.80442","0.69054","0.8893","0.77742","0.49620900000000007","0.000186832079"
"2","5","5","0.001","1e-07","0.82576","0.77367","0.90447","0.83397","0.79649","0.71901","0.87879","0.79091","0.48727649999999995","0.004034362402750001"
"2","5","5","0.01","1e-08","0.85402","0.79505","0.90101","0.84472","0.79203","0.71246","0.80216","0.75465","0.473787","8.619427099999992e-05"
"2","5","5","0.001","1e-08","0.82241","0.74468","0.92105","0.82353","0.79379","0.62871","0.93382","0.75148","0.4830930000000001","0.000160240441"
"2","5","7","0.01","1e-06","0.84768","0.79147","0.90549","0.84465","0.77753","0.74247","0.83642","0.78665","0.4567095","8.590921475000002e-05"
"2","5","7","0.001","1e-06","0.88811","0.81971","0.89269","0.85464","0.81682","0.69468","0.88889","0.77987","0.42560950000000003","5.7891564749999876e-05"
"2","5","7","0.01","1e-07","0.87919","0.82455","0.90491","0.86286","0.80116","0.69186","0.85612","0.76527","0.45105399999999995","0.00015490770399999995"
"2","5","7","0.001","1e-07","0.88559","0.834","0.91114","0.87087","0.81574","0.64835","0.90076","0.75399","0.40682399999999996","1.3330834000000011e-05"
"2","5","7","0.01","1e-08","0.83759","0.79907","0.90875","0.85039","0.7859","0.73099","0.85911","0.78989","0.45299199999999995","5.7316995999999976e-05"
"2","5","7","0.001","1e-08","0.873","0.80552","0.91193","0.85543","0.79013","0.69505","0.89085","0.78086","0.45141300000000006","0.0014934794010000006"
"2","5","10","0.01","1e-06","0.90993","0.86357","0.90157","0.88216","0.79184","0.70588","0.8172","0.75748","0.3861185","0.00013905190274999995"
"2","5","10","0.001","1e-06","0.86821","0.79934","0.93984","0.86391","0.80707","0.70126","0.84151","0.76501","0.38236400000000004","0.0012517228039999999"
"2","5","10","0.01","1e-07","0.89348","0.84944","0.89985","0.87392","0.80532","0.7781","0.82569","0.80119","0.4253455","0.0006749585147499997"
"2","5","10","0.001","1e-07","0.86619","0.83673","0.85544","0.84598","0.78721","0.71525","0.74823","0.73137","0.4562479999999999","0.001325664946"
"2","5","10","0.01","1e-08","0.89809","0.82463","0.91365","0.86686","0.81495","0.71429","0.87931","0.78825","0.41333200000000003","0.000231355166"
"2","5","10","0.001","1e-08","0.91394","0.83784","0.94014","0.88605","0.78576","0.71989","0.83442","0.77293","0.3477010000000001","0.00041832344900000006"
"3","3","5","0.01","1e-06","0.79875","0.65652","0.74293","0.69706","0.81092","0.61862","0.79845","0.69712","0.5793515000000001","0.0033699211527499994"
"3","3","5","0.001","1e-06","0.78469","0.66503","0.68866","0.67664","0.76363","0.67227","0.57762","0.62136","0.6253920000000001","0.0015171582259999998"
"3","3","5","0.01","1e-07","0.80169","0.66024","0.75691","0.70528","0.77976","0.60724","0.82746","0.70045","0.5640814999999999","0.005635313102750001"
"3","3","5","0.001","1e-07","0.8154","0.68963","0.75937","0.72282","0.79589","0.5559","0.78166","0.64973","0.541412","0.001955258575999999"
