"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"11","10","10","0.01","1e-06","0.71112","0.02703","0.0011","0.00211","0.71466","0.08333","0.00386","0.00738","0.323844","0.021136047584"
"11","10","10","0.001","1e-06","0.85364","0.88","0.10046","0.18033","0.88703","0.97297","0.20809","0.34286","0.300027","0.012431520610999999"
"11","5","10","0.01","1e-05","0.71558","0.0","0.0","0.0","0.8041","0.0","0.0","0.0","0.40791000000000005","0.011367714650000001"
"11","5","5","0.01","1e-08","0.71657","0.0","0.0","0.0","0.78944","0.0","0.0","0.0","0.453859","0.016241419749"
"11","10","7","0.01","1e-07","0.73261","0.0","0.0","0.0","0.79751","0.0","0.0","0.0","0.32077600000000006","0.027852005063999995"
"12","10","10","0.01","1e-06","0.72051","0.0","0.0","0.0","0.76875","0.0","0.0","0.0","0.34779799999999994","0.018803735366"
"12","10","10","0.001","1e-06","0.89196","0.66309","0.3564","0.46362","0.87864","0.41304","0.09453","0.15385","0.25403449999999994","0.011725994364750001"
"12","5","10","0.01","1e-05","0.73953","0.0","0.0","0.0","0.78715","0.0","0.0","0.0","0.317535","0.015628696605000002"
"12","5","5","0.01","1e-08","0.74453","0.0","0.0","0.0","0.79009","0.0","0.0","0.0","0.3488635","0.02338139775275"
"12","10","7","0.01","1e-07","0.71556","0.375","0.00333","0.00661","0.75665","0.0","0.0","0.0","0.291533","0.021535649531"
"13","10","10","0.01","1e-06","0.73911","0.2","0.00136","0.00271","0.78646","0.0","0.0","0.0","0.3306915","0.017173639912749998"
"13","10","10","0.001","1e-06","0.91759","0.61995","0.32258","0.42435","0.89785","0.71134","0.33824","0.45847","0.26597999999999994","0.00670590497"
"13","5","10","0.01","1e-05","0.70908","0.25316","0.0443","0.0754","0.77396","0.0","0.0","0.0","0.34928299999999995","0.022959122790999997"
"13","5","5","0.01","1e-08","0.74426","0.0","0.0","0.0","0.78519","0.0","0.0","0.0","0.3376315","0.025218964122749998"
"13","10","7","0.01","1e-07","0.75451","0.0","0.0","0.0","0.78537","0.0","0.0","0.0","0.36646049999999997","0.01645471090475"
"14","10","10","0.01","1e-06","0.73845","0.0","0.0","0.0","0.8104","0.0","0.0","0.0","0.2924","0.016674239419999997"
"14","10","10","0.001","1e-06","0.89299","0.66132","0.37551","0.47902","0.88136","0.5","0.60753","0.54854","0.26362500000000005","0.009769408155000001"
"14","5","10","0.01","1e-05","0.77289","0.0","0.0","0.0","0.77766","0.0","0.0","0.0","0.30928950000000005","0.01980579381475"
"14","5","5","0.01","1e-08","0.7458","0.0","0.0","0.0","0.80935","0.0","0.0","0.0","0.31771249999999995","0.021602868148750003"
"14","10","7","0.01","1e-07","0.74432","0.0","0.0","0.0","0.84857","0.0","0.0","0.0","0.374867","0.024753657861"
"15","10","10","0.01","1e-06","0.7014","0.0","0.0","0.0","0.7537","0.38095","0.03053","0.05654","0.30783550000000004","0.02797617625475"
